drug_a,drug_b,interaction_type,severity,mechanism_action,clinical_recommendation
sertraline,linezolid,interacts_with,critical,Serotonergic activity can precipitate serotonin syndrome.,"Avoid contraindicated combinations; monitor for agitation, tremor, clonus, fever, and autonomic instability."
sertraline,tramadol,interacts_with,medium,Serotonergic activity can precipitate serotonin syndrome.,"Avoid contraindicated combinations; monitor for agitation, tremor, clonus, fever, and autonomic instability."
sertraline,sumatriptan,interacts_with,medium,Serotonergic activity can precipitate serotonin syndrome.,"Avoid contraindicated combinations; monitor for agitation, tremor, clonus, fever, and autonomic instability."
sertraline,dextromethorphan,interacts_with,medium,Serotonergic activity can precipitate serotonin syndrome.,"Avoid contraindicated combinations; monitor for agitation, tremor, clonus, fever, and autonomic instability."
sertraline,phenelzine,contraindicates,critical,Serotonergic activity can precipitate serotonin syndrome.,"Avoid contraindicated combinations; monitor for agitation, tremor, clonus, fever, and autonomic instability."
fluoxetine,linezolid,interacts_with,critical,Serotonergic activity can precipitate serotonin syndrome.,"Avoid contraindicated combinations; monitor for agitation, tremor, clonus, fever, and autonomic instability."
fluoxetine,tramadol,interacts_with,medium,Serotonergic activity can precipitate serotonin syndrome.,"Avoid contraindicated combinations; monitor for agitation, tremor, clonus, fever, and autonomic instability."
fluoxetine,sumatriptan,interacts_with,medium,Serotonergic activity can precipitate serotonin syndrome.,"Avoid contraindicated combinations; monitor for agitation, tremor, clonus, fever, and autonomic instability."
fluoxetine,dextromethorphan,interacts_with,medium,Serotonergic activity can precipitate serotonin syndrome.,"Avoid contraindicated combinations; monitor for agitation, tremor, clonus, fever, and autonomic instability."
fluoxetine,phenelzine,contraindicates,critical,Serotonergic activity can precipitate serotonin syndrome.,"Avoid contraindicated combinations; monitor for agitation, tremor, clonus, fever, and autonomic instability."
paroxetine,linezolid,interacts_with,critical,Serotonergic activity can precipitate serotonin syndrome.,"Avoid contraindicated combinations; monitor for agitation, tremor, clonus, fever, and autonomic instability."
paroxetine,tramadol,interacts_with,medium,Serotonergic activity can precipitate serotonin syndrome.,"Avoid contraindicated combinations; monitor for agitation, tremor, clonus, fever, and autonomic instability."
paroxetine,sumatriptan,interacts_with,medium,Serotonergic activity can precipitate serotonin syndrome.,"Avoid contraindicated combinations; monitor for agitation, tremor, clonus, fever, and autonomic instability."
paroxetine,dextromethorphan,interacts_with,medium,Serotonergic activity can precipitate serotonin syndrome.,"Avoid contraindicated combinations; monitor for agitation, tremor, clonus, fever, and autonomic instability."
paroxetine,phenelzine,contraindicates,critical,Serotonergic activity can precipitate serotonin syndrome.,"Avoid contraindicated combinations; monitor for agitation, tremor, clonus, fever, and autonomic instability."
citalopram,linezolid,interacts_with,critical,Serotonergic activity can precipitate serotonin syndrome.,"Avoid contraindicated combinations; monitor for agitation, tremor, clonus, fever, and autonomic instability."
citalopram,tramadol,interacts_with,medium,Serotonergic activity can precipitate serotonin syndrome.,"Avoid contraindicated combinations; monitor for agitation, tremor, clonus, fever, and autonomic instability."
citalopram,sumatriptan,interacts_with,medium,Serotonergic activity can precipitate serotonin syndrome.,"Avoid contraindicated combinations; monitor for agitation, tremor, clonus, fever, and autonomic instability."
citalopram,dextromethorphan,interacts_with,medium,Serotonergic activity can precipitate serotonin syndrome.,"Avoid contraindicated combinations; monitor for agitation, tremor, clonus, fever, and autonomic instability."
citalopram,phenelzine,contraindicates,critical,Serotonergic activity can precipitate serotonin syndrome.,"Avoid contraindicated combinations; monitor for agitation, tremor, clonus, fever, and autonomic instability."
escitalopram,linezolid,interacts_with,critical,Serotonergic activity can precipitate serotonin syndrome.,"Avoid contraindicated combinations; monitor for agitation, tremor, clonus, fever, and autonomic instability."
escitalopram,tramadol,interacts_with,medium,Serotonergic activity can precipitate serotonin syndrome.,"Avoid contraindicated combinations; monitor for agitation, tremor, clonus, fever, and autonomic instability."
escitalopram,sumatriptan,interacts_with,medium,Serotonergic activity can precipitate serotonin syndrome.,"Avoid contraindicated combinations; monitor for agitation, tremor, clonus, fever, and autonomic instability."
escitalopram,dextromethorphan,interacts_with,medium,Serotonergic activity can precipitate serotonin syndrome.,"Avoid contraindicated combinations; monitor for agitation, tremor, clonus, fever, and autonomic instability."
escitalopram,phenelzine,contraindicates,critical,Serotonergic activity can precipitate serotonin syndrome.,"Avoid contraindicated combinations; monitor for agitation, tremor, clonus, fever, and autonomic instability."
venlafaxine,linezolid,interacts_with,critical,Serotonergic activity can precipitate serotonin syndrome.,"Avoid contraindicated combinations; monitor for agitation, tremor, clonus, fever, and autonomic instability."
venlafaxine,tramadol,interacts_with,medium,Serotonergic activity can precipitate serotonin syndrome.,"Avoid contraindicated combinations; monitor for agitation, tremor, clonus, fever, and autonomic instability."
venlafaxine,sumatriptan,interacts_with,medium,Serotonergic activity can precipitate serotonin syndrome.,"Avoid contraindicated combinations; monitor for agitation, tremor, clonus, fever, and autonomic instability."
venlafaxine,dextromethorphan,interacts_with,medium,Serotonergic activity can precipitate serotonin syndrome.,"Avoid contraindicated combinations; monitor for agitation, tremor, clonus, fever, and autonomic instability."
venlafaxine,phenelzine,contraindicates,critical,Serotonergic activity can precipitate serotonin syndrome.,"Avoid contraindicated combinations; monitor for agitation, tremor, clonus, fever, and autonomic instability."
warfarin,amiodarone,interacts_with,high,Interaction can alter INR or add bleeding risk.,"Check INR more frequently, consider dose adjustment, and counsel patient about bleeding signs."
warfarin,metronidazole,interacts_with,high,Interaction can alter INR or add bleeding risk.,"Check INR more frequently, consider dose adjustment, and counsel patient about bleeding signs."
warfarin,trimethoprim-sulfamethoxazole,interacts_with,high,Interaction can alter INR or add bleeding risk.,"Check INR more frequently, consider dose adjustment, and counsel patient about bleeding signs."
warfarin,fluconazole,interacts_with,high,Interaction can alter INR or add bleeding risk.,"Check INR more frequently, consider dose adjustment, and counsel patient about bleeding signs."
warfarin,ciprofloxacin,interacts_with,high,Interaction can alter INR or add bleeding risk.,"Check INR more frequently, consider dose adjustment, and counsel patient about bleeding signs."
warfarin,aspirin,interacts_with,high,Interaction can alter INR or add bleeding risk.,"Check INR more frequently, consider dose adjustment, and counsel patient about bleeding signs."
warfarin,ibuprofen,interacts_with,high,Interaction can alter INR or add bleeding risk.,"Check INR more frequently, consider dose adjustment, and counsel patient about bleeding signs."
warfarin,naproxen,interacts_with,high,Interaction can alter INR or add bleeding risk.,"Check INR more frequently, consider dose adjustment, and counsel patient about bleeding signs."
warfarin,phenytoin,interacts_with,high,Interaction can alter INR or add bleeding risk.,"Check INR more frequently, consider dose adjustment, and counsel patient about bleeding signs."
warfarin,carbamazepine,interacts_with,high,Interaction can alter INR or add bleeding risk.,"Check INR more frequently, consider dose adjustment, and counsel patient about bleeding signs."
metformin,ckd stage 3,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
metformin,egfr < 45,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
metformin,egfr < 30,contraindicates,critical,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
metformin,acute kidney injury,contraindicates,critical,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
metformin,iodinated contrast,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
gabapentin,ckd stage 3,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
gabapentin,egfr < 45,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
gabapentin,egfr < 30,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
gabapentin,acute kidney injury,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
gabapentin,iodinated contrast,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
pregabalin,ckd stage 3,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
pregabalin,egfr < 45,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
pregabalin,egfr < 30,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
pregabalin,acute kidney injury,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
pregabalin,iodinated contrast,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
enoxaparin,ckd stage 3,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
enoxaparin,egfr < 45,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
enoxaparin,egfr < 30,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
enoxaparin,acute kidney injury,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
enoxaparin,iodinated contrast,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
vancomycin,ckd stage 3,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
vancomycin,egfr < 45,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
vancomycin,egfr < 30,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
vancomycin,acute kidney injury,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
vancomycin,iodinated contrast,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
gentamicin,ckd stage 3,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
gentamicin,egfr < 45,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
gentamicin,egfr < 30,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
gentamicin,acute kidney injury,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
gentamicin,iodinated contrast,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
digoxin,ckd stage 3,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
digoxin,egfr < 45,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
digoxin,egfr < 30,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
digoxin,acute kidney injury,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
digoxin,iodinated contrast,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
sotalol,ckd stage 3,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
sotalol,egfr < 45,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
sotalol,egfr < 30,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
sotalol,acute kidney injury,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
sotalol,iodinated contrast,mentioned_with,high,Reduced renal clearance or acute renal stress may increase toxicity risk.,"Verify current eGFR/Cr before use; adjust dose, hold, or select alternative according to protocol."
amoxicillin,penicillin allergy,contraindicates,critical,Beta-lactam allergy trigger may cause hypersensitivity reaction.,Avoid unless allergy evaluation confirms tolerance.
ampicillin,penicillin allergy,contraindicates,critical,Beta-lactam allergy trigger may cause hypersensitivity reaction.,Avoid unless allergy evaluation confirms tolerance.
cefazolin,severe cephalosporin allergy,contraindicates,high,Cephalosporin allergy trigger may cause hypersensitivity reaction.,Use alternative if severe immediate reaction history.
sulfamethoxazole,sulfonamide allergy,contraindicates,high,"Sulfonamide antibiotic allergy trigger may cause rash, hives, or severe reaction.",Avoid and document allergy details.
latex,latex allergy,contraindicates,high,Latex exposure can trigger contact or systemic allergic reaction.,Use latex-free supplies.
digoxin,amiodarone,interacts_with,high,P-gp inhibition may raise digoxin levels.,"Reduce digoxin dose and monitor level, HR, and toxicity symptoms."
digoxin,verapamil,interacts_with,high,P-gp inhibition may raise digoxin levels.,Monitor digoxin level and bradycardia.
methotrexate,trimethoprim,interacts_with,critical,Additive antifolate effect can cause marrow suppression.,Avoid combination or obtain specialist approval and CBC monitoring.
allopurinol,azathioprine,interacts_with,critical,Xanthine oxidase inhibition raises azathioprine metabolite exposure.,Avoid or drastically reduce azathioprine with specialist oversight.
clopidogrel,omeprazole,interacts_with,medium,CYP2C19 inhibition can reduce clopidogrel activation.,Consider pantoprazole if acid suppression is needed.
verapamil,metoprolol,interacts_with,high,Additive AV nodal blockade may cause bradycardia or hypotension.,"Avoid or monitor HR, BP, and ECG closely."
insulin,glipizide,interacts_with,high,Additive glucose-lowering effect increases hypoglycemia risk.,"Monitor glucose, adjust dose, and educate on hypoglycemia treatment."
prednisone,ibuprofen,interacts_with,medium,Combined steroid and NSAID therapy increases GI bleeding risk.,Use gastroprotection if needed and avoid in high-risk patients.
furosemide,gentamicin,interacts_with,high,Loop diuretic with aminoglycoside can increase ototoxicity/nephrotoxicity risk.,Avoid when possible; monitor renal function and hearing symptoms.
levothyroxine,calcium carbonate,interacts_with,medium,Calcium can reduce levothyroxine absorption.,Separate administration by at least 4 hours.
amlodipine,fall risk,causes,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
hydrochlorothiazide,fall risk,interacts_with,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
chlorthalidone,fall risk,mentioned_with,high,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
carvedilol,fall risk,causes,low,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
metoprolol,fall risk,interacts_with,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
propranolol,fall risk,mentioned_with,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
furosemide,fall risk,causes,high,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
torsemide,fall risk,interacts_with,low,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
prednisone,fall risk,mentioned_with,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
dexamethasone,fall risk,causes,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
pantoprazole,fall risk,interacts_with,high,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
omeprazole,fall risk,mentioned_with,low,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
famotidine,fall risk,causes,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
metformin,fall risk,interacts_with,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
glipizide,fall risk,mentioned_with,high,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
insulin,fall risk,causes,low,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
levetiracetam,fall risk,interacts_with,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
phenytoin,fall risk,mentioned_with,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
carbamazepine,fall risk,causes,high,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
valproate,fall risk,interacts_with,low,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
aspirin,fall risk,mentioned_with,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
clopidogrel,fall risk,causes,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
apixaban,fall risk,interacts_with,high,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
lisinopril,fall risk,mentioned_with,low,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
losartan,fall risk,causes,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
atorvastatin,fall risk,interacts_with,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
rosuvastatin,fall risk,mentioned_with,high,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
ondansetron,fall risk,causes,low,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
azithromycin,fall risk,interacts_with,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
ciprofloxacin,fall risk,mentioned_with,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
amlodipine,renal_labs,causes,high,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
hydrochlorothiazide,renal_labs,interacts_with,low,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
chlorthalidone,renal_labs,mentioned_with,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
carvedilol,renal_labs,causes,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
metoprolol,renal_labs,interacts_with,high,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
propranolol,renal_labs,mentioned_with,low,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
furosemide,renal_labs,causes,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
torsemide,renal_labs,interacts_with,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
prednisone,renal_labs,mentioned_with,high,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
dexamethasone,renal_labs,causes,low,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
pantoprazole,renal_labs,interacts_with,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
omeprazole,renal_labs,mentioned_with,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
famotidine,renal_labs,causes,high,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
metformin,renal_labs,interacts_with,low,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
glipizide,renal_labs,mentioned_with,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
insulin,renal_labs,causes,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
levetiracetam,renal_labs,interacts_with,high,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
phenytoin,renal_labs,mentioned_with,low,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
carbamazepine,renal_labs,causes,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
valproate,renal_labs,interacts_with,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
aspirin,renal_labs,mentioned_with,high,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
clopidogrel,renal_labs,causes,low,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
apixaban,renal_labs,interacts_with,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
lisinopril,renal_labs,mentioned_with,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
losartan,renal_labs,causes,high,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
atorvastatin,renal_labs,interacts_with,low,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
rosuvastatin,renal_labs,mentioned_with,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
ondansetron,renal_labs,causes,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
azithromycin,renal_labs,interacts_with,high,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
ciprofloxacin,renal_labs,mentioned_with,low,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
amlodipine,hepatic_labs,causes,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
hydrochlorothiazide,hepatic_labs,interacts_with,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
chlorthalidone,hepatic_labs,mentioned_with,high,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
carvedilol,hepatic_labs,causes,low,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
metoprolol,hepatic_labs,interacts_with,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
propranolol,hepatic_labs,mentioned_with,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
furosemide,hepatic_labs,causes,high,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
torsemide,hepatic_labs,interacts_with,low,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
prednisone,hepatic_labs,mentioned_with,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
dexamethasone,hepatic_labs,causes,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
pantoprazole,hepatic_labs,interacts_with,high,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
omeprazole,hepatic_labs,mentioned_with,low,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
famotidine,hepatic_labs,causes,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
metformin,hepatic_labs,interacts_with,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
glipizide,hepatic_labs,mentioned_with,high,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
insulin,hepatic_labs,causes,low,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
levetiracetam,hepatic_labs,interacts_with,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
phenytoin,hepatic_labs,mentioned_with,medium,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
carbamazepine,hepatic_labs,causes,high,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
valproate,hepatic_labs,interacts_with,low,Synthetic clinical safety association used to test medication safety retrieval and rule filtering.,"Review patient-specific context, current labs, and active medication list before final clinical action."
